Restaurant Name,Rating,Cuisine,Cost for One,Delivery Time,Offers,Link
Vadilal Ice Creams,4.3,"Ice Cream, Desserts, Shake",₹150 for one,34 min,No Offers,https://www.zomato.com/ncr/vadilal-ice-creams-1-karol-bagh-new-delhi/order
FreshMenu,4.1,"Continental, Oriental, Asian, Chinese, Healthy Food, Sandwich, Desserts",₹200 for one,42 min,No Offers,https://www.zomato.com/ncr/freshmenu-pandav-nagar-new-delhi/order
Barbeque Nation,4.2,"North Indian, BBQ, Biryani, Kebab, Continental, Desserts",₹950 for one,29 min,30% OFF,https://www.zomato.com/ncr/barbeque-nation-connaught-place-new-delhi/order
Sandoz,4.1,"North Indian, Chinese, Mughlai, Seafood, Rolls",₹600 for one,23 min,No Offers,https://www.zomato.com/ncr/sandoz-connaught-place-new-delhi/order
Nathu's Sweets,4.0,"Mithai, South Indian, Chinese, Street Food, Fast Food, Desserts, North Indian",₹200 for one,26 min,Free Kesar Badam Milk,https://www.zomato.com/ncr/nathus-sweets-mandi-house-new-delhi/order
Berco's - If You Love Chinese,4.4,"Chinese, Thai, Asian, Desserts",₹600 for one,29 min,30% OFF,https://www.zomato.com/ncr/bercos-if-you-love-chinese-connaught-place-new-delhi/order
Khan Chacha,4.2,"Rolls, Kebab, North Indian, Mughlai, Biryani",₹200 for one,34 min,₹150 OFF,https://www.zomato.com/ncr/khan-chacha-connaught-place-new-delhi/order
Taco Bell,4.3,"Mexican, Fast Food, Wraps",₹200 for one,22 min,No Offers,https://www.zomato.com/ncr/taco-bell-connaught-place-new-delhi/order
The Waffle Co.,4.1,"Waffle, Pancake, Cafe, Coffee, Shake",₹200 for one,35 min,No Offers,https://www.zomato.com/ncr/the-waffle-co-rajendra-place-new-delhi/order
Punjab Grill,4.4,"North Indian, Kebab, Biryani, Mughlai",₹800 for one,34 min,₹175 OFF,https://www.zomato.com/ncr/punjab-grill-janpath-new-delhi/order
Giani,4.0,"Ice Cream, Desserts, Shake, Beverages",₹150 for one,15 min,No Offers,https://www.zomato.com/ncr/giani-gole-market-new-delhi/order
Gulab,4.3,"Mithai, Desserts, Fast Food",₹150 for one,41 min,No Offers,https://www.zomato.com/ncr/gulab-kamla-nagar-new-delhi/order
California Burrito,4.5,"Mexican, American, Continental, Healthy Food, Beverages, Fast Food",₹200 for one,29 min,50% OFF,https://www.zomato.com/ncr/california-burrito-karol-bagh-new-delhi/order
Punjabi Rasoi,3.9,"North Indian, Mughlai, Chinese, Fast Food, Ice Cream",₹200 for one,36 min,No Offers,https://www.zomato.com/ncr/punjabi-rasoi-3-paharganj-new-delhi/order
Daily Kitchen - Homely Meals,4.3,"North Indian, Desserts, Beverages",₹100 for one,28 min,₹200 OFF,https://www.zomato.com/ncr/daily-kitchen-homely-meals-paharganj-new-delhi/order
CakeZone Patisserie,4.2,"Bakery, Desserts",₹100 for one,46 min,No Offers,https://www.zomato.com/ncr/cakezone-patisserie-karol-bagh-new-delhi/order
Naivedyam,4.4,"South Indian, Desserts",₹350 for one,21 min,Flat 10% OFF,https://www.zomato.com/ncr/naivedyam-1-connaught-place-new-delhi/order
Oven Story Pizza - Standout Toppings,4.2,"Pizza, Italian, Pasta",₹200 for one,38 min,₹150 OFF,https://www.zomato.com/ncr/oven-story-pizza-standout-toppings-connaught-place-new-delhi/order
Moti Mahal Delux,4.0,"North Indian, Mughlai, Biryani, Kebab, Rolls, Desserts",₹600 for one,30 min,₹400 OFF,https://www.zomato.com/ncr/moti-mahal-delux-rajinder-nagar-new-delhi/order
MOJO Pizza - 2X Toppings,4.5,"Pizza, Fast Food, Desserts, Beverages",₹200 for one,34 min,₹200 OFF,https://www.zomato.com/ncr/mojo-pizza-2x-toppings-paharganj-new-delhi/order
